"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time delta from previous captured frame"
"147","2022-03-11 10:46:43,125594074","192.168.2.10","192.168.2.6","UDP","0x39c4 (14788)","255","0.026083403"
"148","2022-03-11 10:46:43,152523102","192.168.2.10","192.168.2.6","UDP","0x39cd (14797)","256","0.026929028"
"149","2022-03-11 10:46:43,180617275","192.168.2.10","192.168.2.6","UDP","0x39dc (14812)","254","0.028094173"
"150","2022-03-11 10:46:43,207418277","192.168.2.10","192.168.2.6","UDP","0x39e1 (14817)","256","0.026801002"
"151","2022-03-11 10:46:43,234517535","192.168.2.10","192.168.2.6","UDP","0x39ea (14826)","254","0.027099258"
"152","2022-03-11 10:46:43,261497441","192.168.2.10","192.168.2.6","UDP","0x39fd (14845)","257","0.026979906"
"153","2022-03-11 10:46:43,288481241","192.168.2.10","192.168.2.6","UDP","0x3a09 (14857)","254","0.026983800"
"154","2022-03-11 10:46:43,315526079","192.168.2.10","192.168.2.6","UDP","0x3a1e (14878)","255","0.027044838"
"155","2022-03-11 10:46:43,342490114","192.168.2.10","192.168.2.6","UDP","0x3a2d (14893)","257","0.026964035"
"156","2022-03-11 10:46:43,369515483","192.168.2.10","192.168.2.6","UDP","0x3a3c (14908)","256","0.027025369"
"157","2022-03-11 10:46:43,396483672","192.168.2.10","192.168.2.6","UDP","0x3a54 (14932)","256","0.026968189"
"158","2022-03-11 10:46:43,423480102","192.168.2.10","192.168.2.6","UDP","0x3a5e (14942)","256","0.026996430"
"159","2022-03-11 10:46:43,450524277","192.168.2.10","192.168.2.6","UDP","0x3a76 (14966)","254","0.027044175"
"160","2022-03-11 10:46:43,477503744","192.168.2.10","192.168.2.6","UDP","0x3a7c (14972)","256","0.026979467"
"161","2022-03-11 10:46:43,504444258","192.168.2.10","192.168.2.6","UDP","0x3a92 (14994)","255","0.026940514"
"162","2022-03-11 10:46:43,530385919","192.168.2.10","192.168.2.6","UDP","0x3a94 (14996)","256","0.025941661"
"163","2022-03-11 10:46:43,557531102","192.168.2.10","192.168.2.6","UDP","0x3aae (15022)","255","0.027145183"
"164","2022-03-11 10:46:43,584453311","192.168.2.10","192.168.2.6","UDP","0x3ac5 (15045)","255","0.026922209"
"165","2022-03-11 10:46:43,611584161","192.168.2.10","192.168.2.6","UDP","0x3acd (15053)","255","0.027130850"
"166","2022-03-11 10:46:43,638486740","192.168.2.10","192.168.2.6","UDP","0x3ad3 (15059)","253","0.026902579"
"167","2022-03-11 10:46:43,665540323","192.168.2.10","192.168.2.6","UDP","0x3ae5 (15077)","254","0.027053583"
"168","2022-03-11 10:46:43,691404610","192.168.2.10","192.168.2.6","UDP","0x3af1 (15089)","254","0.025864287"
"169","2022-03-11 10:46:43,718515564","192.168.2.10","192.168.2.6","UDP","0x3b05 (15109)","255","0.027110954"
"170","2022-03-11 10:46:43,745489131","192.168.2.10","192.168.2.6","UDP","0x3b17 (15127)","256","0.026973567"
"171","2022-03-11 10:46:43,772607296","192.168.2.10","192.168.2.6","UDP","0x3b31 (15153)","258","0.027118165"
"172","2022-03-11 10:46:43,800542474","192.168.2.10","192.168.2.6","UDP","0x3b40 (15168)","256","0.027935178"
"173","2022-03-11 10:46:43,827544694","192.168.2.10","192.168.2.6","UDP","0x3b4d (15181)","255","0.027002220"
