"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time since previous frame"
"178","2022-03-11 10:56:27,044905563","192.168.2.10","192.168.2.6","UDP","0xdd64 (56676)","252","0.026980322"
"179","2022-03-11 10:56:27,071955400","192.168.2.10","192.168.2.6","UDP","0xdd6f (56687)","252","0.027049837"
"180","2022-03-11 10:56:27,098965195","192.168.2.10","192.168.2.6","UDP","0xdd7a (56698)","251","0.027009795"
"181","2022-03-11 10:56:27,125927950","192.168.2.10","192.168.2.6","UDP","0xdd8b (56715)","253","0.026962755"
"182","2022-03-11 10:56:27,152950845","192.168.2.10","192.168.2.6","UDP","0xdd98 (56728)","252","0.027022895"
"183","2022-03-11 10:56:27,179817295","192.168.2.10","192.168.2.6","UDP","0xdd99 (56729)","253","0.026866450"
"184","2022-03-11 10:56:27,206964042","192.168.2.10","192.168.2.6","UDP","0xddb0 (56752)","254","0.027146747"
"185","2022-03-11 10:56:27,233983532","192.168.2.10","192.168.2.6","UDP","0xddb3 (56755)","251","0.027019490"
"186","2022-03-11 10:56:27,261079686","192.168.2.10","192.168.2.6","UDP","0xddb7 (56759)","251","0.027096154"
"187","2022-03-11 10:56:27,287873389","192.168.2.10","192.168.2.6","UDP","0xddba (56762)","251","0.026793703"
"188","2022-03-11 10:56:27,314992236","192.168.2.10","192.168.2.6","UDP","0xddd4 (56788)","252","0.027118847"
"189","2022-03-11 10:56:27,341898006","192.168.2.10","192.168.2.6","UDP","0xdddf (56799)","252","0.026905770"
"190","2022-03-11 10:56:27,368969133","192.168.2.10","192.168.2.6","UDP","0xddea (56810)","252","0.027071127"
"191","2022-03-11 10:56:27,395921436","192.168.2.10","192.168.2.6","UDP","0xddf1 (56817)","252","0.026952303"
"192","2022-03-11 10:56:27,422935284","192.168.2.10","192.168.2.6","UDP","0xddfb (56827)","254","0.027013848"
"193","2022-03-11 10:56:27,449951609","192.168.2.10","192.168.2.6","UDP","0xde0d (56845)","252","0.027016325"
